x;y;z;vx;vy;vz;rpmFR;rpmFL;rpmRR;rpmRL;ThetaX;ThetaY;ThetaZ;alphaFR;alphaFL;speed;rpm;frame;gearRatio;steer;steer_input;omegaFL;omegaFR;omegaRL;omegaRR;latitude;longitude;height
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;47;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;48;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;49;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;50;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;51;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;52;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;53;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;54;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;55;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;56;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;57;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;58;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;59;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;60;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;61;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;62;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;63;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;64;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;65;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;66;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;67;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;68;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
238.785034;119.531326;465.351563;0;0;0;0;0;0;0;-3.100968;1.209291;-2.973114;-0;-0;0;850.00003048359;69;0;0;0;0;0;0;0;1.0503332845619;0.43301682331406;128.55274592247
